                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2893,                 1.9817,                 1.3312,                0.79625,                0.96226,                0.94038,                0.80553,                0.49257,                 1.8149,                0.84164,                0.00014,                0.00014,                0.00014
                      2,                0.58472,                0.76907,                0.94275,                0.82389,                0.99057,                0.96662,                0.87383,                0.45455,                 1.0806,                0.79587,             0.00028515,             0.00028515,             0.00028515
                      3,                0.54281,                0.60674,                0.88999,                0.92881,                0.98464,                 0.9878,                 0.8395,                0.60778,                0.89952,                0.90173,             0.00041446,             0.00041446,             0.00041446
                      4,                0.55606,                0.58474,                 0.8949,                0.95596,                      1,                0.99234,                0.86893,                 0.4688,                0.91338,                0.82067,             0.00052793,             0.00052793,             0.00052793
                      5,                0.53329,                0.53305,                0.88722,                0.96351,                0.99657,                0.99308,                0.84799,                0.54947,                 1.0155,                0.84896,             0.00062556,             0.00062556,             0.00062556
                      6,                0.56445,                 0.5629,                0.89667,                0.79033,                      1,                 0.9106,                0.78976,                0.59725,                  1.196,                0.87173,             0.00070735,             0.00070735,             0.00070735
                      7,                0.51439,                0.53956,                0.88885,                0.88932,                0.98545,                0.96524,                0.82702,                0.51862,                0.76123,                 0.8407,              0.0007733,              0.0007733,              0.0007733
                      8,                0.45445,                0.45454,                0.87622,                0.97922,                      1,                 0.9935,                0.88213,                0.49597,                 0.5816,                0.83784,             0.00082341,             0.00082341,             0.00082341
                      9,                0.49747,                0.44047,                0.87385,                0.99176,                      1,                  0.995,                0.89915,                 0.4656,                0.47775,                0.81886,             0.00085768,             0.00085768,             0.00085768
                     10,                0.50414,                0.43517,                0.88312,                0.99913,                      1,                  0.995,                0.89981,                0.47478,                0.45953,                 0.8148,             0.00087611,             0.00087611,             0.00087611
                     11,                0.47133,                0.43393,                0.87103,                0.99843,                      1,                  0.995,                0.89086,                0.47358,                0.48394,                0.81377,              0.0008787,              0.0008787,              0.0008787
                     12,                 0.4673,                0.41493,                0.84668,                0.96252,                      1,                0.99278,                0.89124,                0.47736,                0.57192,                0.82478,             0.00086545,             0.00086545,             0.00086545
                     13,                0.45207,                0.39354,                0.85662,                0.98875,                      1,                  0.995,                0.89238,                0.46783,                0.58248,                0.81574,               0.000812,               0.000812,               0.000812
                     14,                0.49097,                0.39969,                0.86691,                0.98885,                      1,                0.99463,                0.90892,                0.45116,                0.60783,                0.81773,               0.000812,               0.000812,               0.000812
                     15,                0.45609,                0.37597,                0.85443,                0.98844,                      1,                0.99453,                0.89505,                0.45208,                 0.5987,                 0.8173,               0.000713,               0.000713,               0.000713
                     16,                0.47678,                0.40006,                0.85915,                0.99394,                      1,                  0.995,                0.88301,                0.45625,                0.53703,                0.81944,               0.000614,               0.000614,               0.000614
                     17,                0.46279,                0.40396,                0.86106,                0.99859,                      1,                  0.995,                0.89109,                0.45729,                0.46241,                0.83152,               0.000515,               0.000515,               0.000515
                     18,                0.45314,                0.38651,                0.84561,                0.99818,                      1,                  0.995,                0.90805,                0.44768,                0.40612,                0.84147,               0.000416,               0.000416,               0.000416
                     19,                0.43796,                0.36304,                0.84796,                 0.9988,                      1,                  0.995,                0.91892,                 0.4314,                 0.3815,                0.82921,               0.000317,               0.000317,               0.000317
                     20,                0.41983,                0.35373,                0.85503,                 0.9993,                      1,                  0.995,                0.93406,                0.39943,                0.35636,                0.81379,               0.000218,               0.000218,               0.000218
